zip,poverty
40003,5.2
40006,19.71
40007,0
40008,12.44
40010,40.17
40011,14.66
40013,3.57
40014,3.34
40019,21.72
40022,2.7
40023,3.88
40025,0
40026,1.98
40031,10.5
40036,15.79
40041,27.34
40045,14.06
40046,9.98
40047,6.83
40050,34.7
40055,4.42
40056,5.02
40057,18.26
40059,2.01
40065,12.95
40067,15.63
40068,7.43
40070,9.94
40071,8.57
40075,10.63
40076,13.69
40077,2.98
40109,11.08
40110,0
40118,16.75
40150,14.85
40165,11.55
40177,29.57
40202,45.67
40203,47.99
40204,14.5
40205,7.53
40206,11.89
40207,7.56
40208,36.86
40209,61.95
40210,40.21
40211,29.69
40212,39.15
40213,15.06
40214,20.17
40215,28.24
40216,18.07
40217,17.84
40218,18.35
40219,17.86
40220,12.03
40222,6.72
40223,5.34
40228,8.28
40229,11.2
40241,6.54
40242,6.7
40243,7.58
40245,4.47
40258,8.28
40272,12.79
40291,5.67
40299,4.51
40601,13.03
47102,20.91
47104,0
47106,12.68
47108,21.01
47110,7.13
47111,8.22
47112,13.32
47114,11.82
47115,15.33
47117,11.03
47119,2.48
47120,33.27
47122,3.97
47124,1.88
47125,6.3
47126,6.47
47129,12.78
47130,10.58
47135,5.72
47136,2.69
47138,2.14
47141,6.12
47142,2.32
47143,6.47
47145,12.7
47147,14.79
47150,15.85
47160,2.56
47161,16.2
47162,8.89
47163,5.41
47164,22.48
47165,8
47166,19.43
47167,14.2
47170,12.77
47172,6
47177,20.02
47230,6.68
47281,1.23
